attempts,percentage,points
905,0.438674033,1057
1318,0.484066768,1560
638,0.445141066,705
474,0.474683544,555
1489,0.449294829,1920
614,0.540716612,832
628,0.439490446,748
589,0.485568761,701
833,0.422569028,1047
687,0.410480349,780
346,0.450867052,386
1140,0.477192982,1281
907,0.534729879,1232
478,0.40167364,461
396,0.353535354,358
1595,0.462695925,2133
720,0.423611111,813
1270,0.491338583,1652
529,0.429111531,666
400,0.6375,689
724,0.470994475,972
940,0.440425532,1168
1036,0.465250965,1280
1388,0.451008646,1786
676,0.516272189,867
964,0.539419087,1246
1093,0.426349497,1237
1231,0.445166531,1485
906,0.442604857,1134
669,0.467862481,861
976,0.50204918,1227
1433,0.510118632,2280
1058,0.427221172,1228
1436,0.415738162,1577
261,0.478927203,363
765,0.478431373,987
689,0.551523948,923
882,0.427437642,948
738,0.39701897,882
871,0.417910448,1149
850,0.496470588,1004
869,0.493670886,1127
579,0.466321244,673
2506,0.415802075,2732
744,0.409946237,842
1176,0.419217687,1377
566,0.521201413,680
663,0.447963801,838
386,0.461139896,450
1072,0.538246269,1440
475,0.429473684,490
1337,0.437546746,2023
564,0.460992908,625
1024,0.455078125,1206
251,0.513944223,290
855,0.446783626,1055
859,0.448195576,937
744,0.561827957,1018
594,0.47979798,766
871,0.443168772,1076
422,0.376777251,459
1288,0.430900621,1383
1060,0.543396226,1289
813,0.578105781,1296
778,0.573264781,1055
879,0.450511945,1038
803,0.462017435,962
1070,0.452336449,1325
1354,0.564992614,2036
1236,0.49433657,1391
1247,0.398556536,1397
1052,0.423003802,1170
488,0.643442623,724
617,0.507293355,693
409,0.371638142,458
613,0.458401305,704
560,0.507142857,791
878,0.406605923,999
601,0.460898502,810
508,0.580708661,648
971,0.461380021,1216
1160,0.518965517,1459
526,0.494296578,689
1288,0.429347826,1562
897,0.441471572,1095
1094,0.521023766,1437
719,0.534075104,929
623,0.401284109,791
690,0.514492754,812
808,0.435643564,1022
457,0.446389497,498
1026,0.449317739,1255
377,0.400530504,387
686,0.454810496,802
875,0.490285714,1135
1058,0.485822306,1298
1052,0.422053232,1192
475,0.496842105,636
780,0.392307692,822
630,0.480952381,784
728,0.471153846,917
687,0.477438137,765
995,0.52160804,1341
939,0.485623003,1177
1246,0.512038523,1474
856,0.481308411,1186
741,0.519568151,1011
313,0.45686901,330
1092,0.435897436,1430
1640,0.437804878,1704
1024,0.459960938,1169
811,0.452527744,939
514,0.359922179,608
612,0.39869281,672
605,0.505785124,696
915,0.472131148,1048
466,0.480686695,613
275,0.396363636,305
642,0.42834891,720
1182,0.465313029,1327
563,0.559502664,838
598,0.459866221,687
974,0.450718686,1166
832,0.439903846,1100
745,0.502013423,891
1205,0.421576763,1359
799,0.488110138,957
444,0.472972973,506
1053,0.418803419,1094
367,0.555858311,554
1012,0.432806324,1083
889,0.51856018,1008
1093,0.520585544,1463
815,0.412269939,894
1244,0.422829582,1455
735,0.440816327,906
458,0.397379913,531
636,0.441823899,869
1009,0.497522299,1250
1535,0.438436482,1903
1124,0.440391459,1476
786,0.430025445,933
470,0.423404255,529
533,0.429643527,592
824,0.402912621,929
958,0.53131524,1127
559,0.438282648,610
559,0.438282648,610
